id,title,artist,year,type,image_url
3484,The Hidden World,Unknown,1904,Type2,https://picsum.photos/seed/4614/150
9433,A New Dawn,Unknown,1954,Type3,https://picsum.photos/seed/5243/150
8394,A New Dawn,Unknown,1908,Type1,https://picsum.photos/seed/7431/150
3533,The Hidden World,Unknown,1940,Type3,https://picsum.photos/seed/8557/150
8975,Journey to the Stars,Unknown,1936,Type3,https://picsum.photos/seed/3837/150
1382,Journey to the Stars,Unknown,1934,Type2,https://picsum.photos/seed/9667/150
7730,The Hidden World,Unknown,1961,Type3,https://picsum.photos/seed/4569/150
8166,A New Dawn,Unknown,1978,Type2,https://picsum.photos/seed/8949/150
4678,A New Dawn,Unknown,1983,Type1,https://picsum.photos/seed/2202/150
1819,A New Dawn,Unknown,1994,Type1,https://picsum.photos/seed/9599/150
2584,A New Dawn,Unknown,1943,Type1,https://picsum.photos/seed/3079/150
7638,Journey to the Stars,Unknown,1981,Type3,https://picsum.photos/seed/1768/150
9559,The Hidden World,Unknown,1901,Type2,https://picsum.photos/seed/4123/150
3082,The Hidden World,Unknown,1998,Type3,https://picsum.photos/seed/2029/150
6293,A New Dawn,Unknown,1938,Type2,https://picsum.photos/seed/9422/150
4646,Journey to the Stars,Unknown,2013,Type2,https://picsum.photos/seed/3198/150
4763,A New Dawn,Unknown,1956,Type2,https://picsum.photos/seed/4377/150
1130,Journey to the Stars,Unknown,1926,Type2,https://picsum.photos/seed/6373/150
3834,Journey to the Stars,Unknown,1951,Type2,https://picsum.photos/seed/4744/150
6118,The Hidden World,Unknown,1977,Type2,https://picsum.photos/seed/8807/150
